x   y
0   25
0   78
1   27
1   76
2   18
2   85
3   31
3   72
5   21
5   82
6   29
6   74
7   12
7   91
8   2
8   101
9   18
9   85
13  12
13  91
17  39
17  64
19  45
19  58
20  30
20  73
22  47
22  56
24  21
24  82
25  39
25  64
27  29
27  74
33  10
33  93
34  45
34  58
35  31
35  72
36  2
36  101
38  17
38  86
42  48
42  55
46  27
46  76
49  37
49  66
50  45
50  58
51  32
51  71
53  7
53  96
56  27
56  76
59  2
59  101
60  4
60  99
61  39
61  64
64  4
64  99
65  31
65  72
66  37
66  66
68  17
68  86
69  7
69  96
70  29
70  74
74  21
74  82
75  32
75  71
76  10
76  93
78  48
78  55
80  32
80  71
82  4
82  99
83  12
83  91
84  7
84  96
85  47
85  56
86  48
86  55
90  30
90  73
91  37
91  66
92  18
92  85
96  30
96  73
97  10
97  93
99  47
99  56
100 17
100 86
