x   y
0   5
1   8
2   11
3   14
4   17
5   20
6   23
7   26
8   29
9   32
10  35
11  38
12  41
13  44
14  47
15  50
16  53
17  56
18  59
19  62
20  65
21  68
22  71
23  74
24  77
25  80
26  83
27  86
28  89
29  92
30  95
31  98
32  101
33  1
34  4
35  7
36  10
37  13
38  16
39  19
40  22
41  25
42  28
43  31
44  34
45  37
46  40
47  43
48  46
49  49
50  52
51  55
52  58
53  61
54  64
55  67
56  70
57  73
58  76
59  79
60  82
61  85
62  88
63  91
64  94
65  97
66  100
67  0
68  3
69  6
70  9
71  12
72  15
73  18
74  21
75  24
76  27
77  30
78  33
79  36
80  39
81  42
82  45
83  48
84  51
85  54
86  57
87  60
88  63
89  66
90  69
91  72
92  75
93  78
94  81
95  84
96  87
97  90
98  93
99  96
100 99
101 102
102 2
